"taxon_a"	"taxon_b"	"family"	"age"	"distance"	"qtaxid"	"staxid"	"N"
"1"	"Aspergillus flavus NRRL3357"	"Aspergillus oryzae RIB40"	"Aspergillus"	"2.4"	0.150137078442102	"332952"	"510516"	13494
"2"	"Aspergillus niger CBS 513.88"	"Aspergillus oryzae RIB40"	"Aspergillus"	"43.9"	0.659008320741528	"425011"	"510516"	14025
"3"	"Aspergillus niger ATCC 1015"	"Aspergillus oryzae RIB40"	"Aspergillus"	"43.9"	0.5652165145205	"380704"	"510516"	10944
"4"	"Aspergillus oryzae RIB40"	"Aspergillus flavus NRRL3357"	"Aspergillus"	"2.4"	0.0756482564801143	"510516"	"332952"	12069
"5"	"Aspergillus oryzae RIB40"	"Aspergillus niger ATCC 1015"	"Aspergillus"	"43.9"	0.588071110715284	"510516"	"380704"	12061
"6"	"Aspergillus oryzae RIB40"	"Aspergillus niger CBS 513.88"	"Aspergillus"	"43.9"	0.588890485582649	"510516"	"425011"	12063
"7"	"Arabidopsis lyrata subsp. lyrata"	"Arabidopsis thaliana"	"Brassicaceae"	"5.3"	0.229542956360853	"81972"	"3702"	32047
"8"	"Arabidopsis lyrata subsp. lyrata"	"Arabis alpina"	"Brassicaceae"	"24.0"	0.494438771315686	"81972"	"50452"	32040
"9"	"Arabidopsis lyrata subsp. lyrata"	"Brassica rapa subsp. pekinensis"	"Brassicaceae"	"16.4"	0.393278189445166	"81972"	"51351"	32065
"10"	"Arabis alpina"	"Arabidopsis lyrata subsp. lyrata"	"Brassicaceae"	"24.0"	0.372232859200168	"50452"	"81972"	23180
"11"	"Arabis alpina"	"Arabidopsis thaliana"	"Brassicaceae"	"24.0"	0.358960419080593	"50452"	"3702"	23149
"12"	"Arabidopsis thaliana"	"Arabidopsis lyrata subsp. lyrata"	"Brassicaceae"	"5.3"	0.183683562175537	"3702"	"81972"	31540
"13"	"Arabidopsis thaliana"	"Arabis alpina"	"Brassicaceae"	"24.0"	0.447162877572739	"3702"	"50452"	31527
"14"	"Arabidopsis thaliana"	"Brassica rapa subsp. pekinensis"	"Brassicaceae"	"16.4"	0.340904359388345	"3702"	"51351"	31520
"15"	"Brassica rapa subsp. pekinensis"	"Arabidopsis lyrata subsp. lyrata"	"Brassicaceae"	"16.4"	0.350778698477256	"51351"	"81972"	40783
"16"	"Brassica rapa subsp. pekinensis"	"Arabidopsis thaliana"	"Brassicaceae"	"16.4"	0.344529415854512	"51351"	"3702"	40779
"17"	"Caenorhabditis remanei"	"Caenorhabditis brenneri"	"Caenorhabditis"	"1.0"	0.605072725539887	"31234"	"135651"	31187
"18"	"Caenorhabditis remanei"	"Caenorhabditis briggsae"	"Caenorhabditis"	"1.0"	0.590133313418352	"31234"	"6238"	31204
"19"	"Caenorhabditis remanei"	"Caenorhabditis elegans"	"Caenorhabditis"	"1.0"	0.613942672613231	"31234"	"6239"	31134
"20"	"Caenorhabditis brenneri"	"Caenorhabditis briggsae"	"Caenorhabditis"	"1.0"	0.559556635285497	"135651"	"6238"	29819
"21"	"Caenorhabditis brenneri"	"Caenorhabditis elegans"	"Caenorhabditis"	"1.0"	0.564184285933064	"135651"	"6239"	29726
"22"	"Caenorhabditis brenneri"	"Caenorhabditis remanei"	"Caenorhabditis"	"1.0"	0.527163275742659	"135651"	"31234"	29800
"23"	"Caenorhabditis briggsae"	"Caenorhabditis brenneri"	"Caenorhabditis"	"1.0"	0.51216453841427	"6238"	"135651"	21568
"24"	"Caenorhabditis briggsae"	"Caenorhabditis elegans"	"Caenorhabditis"	"51.3"	0.502839321113452	"6238"	"6239"	21473
"25"	"Caenorhabditis briggsae"	"Caenorhabditis remanei"	"Caenorhabditis"	"1.0"	0.451881229797518	"6238"	"31234"	21573
"26"	"Caenorhabditis elegans"	"Caenorhabditis brenneri"	"Caenorhabditis"	"1.0"	0.458474599952236	"6239"	"135651"	26156
"27"	"Caenorhabditis elegans"	"Caenorhabditis briggsae"	"Caenorhabditis"	"51.3"	0.444587434756629	"6239"	"6238"	26176
"28"	"Caenorhabditis elegans"	"Caenorhabditis remanei"	"Caenorhabditis"	"1.0"	0.419401121025147	"6239"	"31234"	26164
"29"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila ananassae"	"Drosophila"	"24.9"	0.42556567190599	"46245"	"7217"	16740
"30"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila erecta"	"Drosophila"	"24.9"	0.423132096758869	"46245"	"7220"	16739
"31"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila grimshawi"	"Drosophila"	"39.2"	0.488140664613259	"46245"	"7222"	16726
"32"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila melanogaster"	"Drosophila"	"24.9"	0.419525719459751	"46245"	"7227"	16659
"33"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila mojavensis"	"Drosophila"	"39.2"	0.484254109106519	"46245"	"7230"	16732
"34"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila persimilis"	"Drosophila"	"0.9"	0.0979559664263001	"46245"	"7234"	16749
"35"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila sechellia"	"Drosophila"	"24.9"	0.429757213157844	"46245"	"7238"	16740
"36"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila simulans"	"Drosophila"	"24.9"	0.446210869072729	"46245"	"7240"	16734
"37"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila virilis"	"Drosophila"	"39.2"	0.471125523223982	"46245"	"7244"	16724
"38"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila willistoni"	"Drosophila"	"49.3"	0.460535135656207	"46245"	"7260"	16735
"39"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila yakuba"	"Drosophila"	"24.9"	0.419134894759205	"46245"	"7245"	16740
"40"	"Drosophila grimshawi"	"Drosophila ananassae"	"Drosophila"	"39.2"	0.450908137167648	"7222"	"7217"	14726
"41"	"Drosophila grimshawi"	"Drosophila erecta"	"Drosophila"	"39.2"	0.454873820190278	"7222"	"7220"	14730
"42"	"Drosophila grimshawi"	"Drosophila melanogaster"	"Drosophila"	"39.2"	0.449212495734111	"7222"	"7227"	14645
