"qtaxid"	"orphans"	"total"	"proportion"	"ave.length"	"sd.length"	"length.rat"	"sciname"	"family"	"staxid"	"distance"	"N"	"id"	"threshold"	"reference"
"1"	"1033177"	202	11490	0.0175805047867711	175.465346534653	100.197671729579	2.83382928608957	"Aspergillus kawachii IFO 4308"	"Aspergillus"	"425011"	0.205689937027412	11487	"seqid"	0.001	FALSE
"2"	"112509"	1968	52336	0.0376031794558239	81.5467479674797	43.7219207542599	4.28480128583082	"Hordeum vulgare subsp. vulgare"	"Poaceae"	"4565"	0.173616967542258	52136	"seqid"	0.001	FALSE
"3"	"1160506"	7	11396	0.000614250614250614	129.142857142857	72.2620891187732	3.64430163556358	"Aspergillus oryzae 3.042"	"Aspergillus"	"510516"	0.0349958388531123	11396	"seqid"	0.001	FALSE
"4"	"1160507"	0	3653	0	NA	NA	NA	"Saccharomyces arboricola H-6"	"Saccharomyces"	"559292"	0.170234849813348	3653	"seqid"	0.001	FALSE
"5"	"126793"	241	5389	0.0447207274076823	333.178423236515	299.979091825586	2.13844601508993	"Plasmodium vivax Sal-1"	"Plasmodium"	"5851"	0.363898150526879	5388	"seqid"	0.001	TRUE
"6"	"135651"	3552	29874	0.118899377385017	189.845439189189	193.698318582865	2.26404947330627	"Caenorhabditis brenneri"	"Caenorhabditis"	"31234"	0.527163275742659	29800	"seqid"	0.001	FALSE
"7"	"15368"	546	29933	0.0182407376474126	145.838827838828	92.9839664273818	2.96163021612618	"Brachypodium distachyon"	"Poaceae"	"4565"	0.358185359941256	29867	"seqid"	0.001	TRUE
"8"	"226230"	5	3745	0.00133511348464619	73.4	21.0546906887753	5.60355316265719	"Saccharomyces kudriavzevii IFO 1802"	"Saccharomyces"	"559292"	0.184792471758191	3745	"seqid"	0.001	FALSE
"9"	"227321"	798	10539	0.0757187588955309	135.428571428571	119.674608125855	3.77565215451502	"Aspergillus nidulans FGSC A4"	"Aspergillus"	"332952"	0.577442098311819	10506	"seqid"	0.001	TRUE
"10"	"281687"	4594	35035	0.131126016840303	115.008271658685	91.9483470018234	2.87184014627086	"Caenorhabditis japonica"	"Caenorhabditis"	"31234"	0.505719739473716	34930	"seqid"	0.001	TRUE
"11"	"285006"	9	5357	0.0016800448011947	65	35.5598087733891	7.31894597549048	"Saccharomyces cerevisiae RM11-1a"	"Saccharomyces"	"559292"	0.0112198677618227	5357	"seqid"	0.001	FALSE
"12"	"30611"	53	19931	0.00265917415082033	63.3207547169811	46.9761697299426	8.55280118436407	"Otolemur garnettii"	"Primates"	"9606"	0.216942645978172	19931	"seqid"	0.001	TRUE
"13"	"307796"	10	5860	0.00170648464163823	238.2	108.168387248771	2.03247504431384	"Saccharomyces cerevisiae YJM789"	"Saccharomyces"	"559292"	0.0155667540042017	5856	"seqid"	0.001	FALSE
"14"	"31234"	2454	31235	0.0785657115415399	202.552974735126	192.561094771086	2.06703350068607	"Caenorhabditis remanei"	"Caenorhabditis"	"6238"	0.590133313418352	31204	"seqid"	0.001	FALSE
"15"	"330879"	36	9649	0.00373095657581096	196.027777777778	160.210840744512	2.51304194150083	"Aspergillus fumigatus Af293"	"Aspergillus"	"451804"	0.021607070872244	9649	"seqid"	0.001	TRUE
"16"	"332952"	822	13501	0.0608843789348937	88.8783454987835	43.4194037483638	4.97312270756959	"Aspergillus flavus NRRL3357"	"Aspergillus"	"510516"	0.150137078442102	13494	"seqid"	0.001	FALSE
"17"	"341663"	427	10416	0.040994623655914	202.714285714286	122.461579132046	2.52424227608791	"Aspergillus terreus NIH2624"	"Aspergillus"	"332952"	0.522241147860039	10412	"seqid"	0.001	FALSE
"18"	"344612"	257	9140	0.0281181619256018	127.396887159533	105.48440194063	3.95419393228959	"Aspergillus clavatus NRRL 1"	"Aspergillus"	"330879"	0.371042435238334	9139	"seqid"	0.001	FALSE
"19"	"36329"	1	5353	0.000186811133943583	41	NA	18.6298169820263	"Plasmodium falciparum 3D7"	"Plasmodium"	"5843"	0.0586855559756306	5353	"seqid"	0.001	TRUE
"20"	"3702"	1176	31570	0.0372505543237251	85.1760204081633	77.7889592547465	4.93794486192858	"Arabidopsis thaliana"	"Brassicaceae"	"81972"	0.183683562175537	31540	"seqid"	0.001	TRUE
"21"	"380704"	193	10949	0.0176271805644351	166.823834196891	84.0849647914083	2.95256101531326	"Aspergillus niger ATCC 1015"	"Aspergillus"	"425011"	0.0947263947468584	10946	"seqid"	0.001	FALSE
"22"	"39946"	1380	37386	0.0369122131279088	133.085507246377	104.979316689836	2.86964244883346	"Oryza sativa Indica Group"	"Poaceae"	"39947"	0.13697466617441	37337	"seqid"	0.001	FALSE
"23"	"39947"	10765	63155	0.170453645792099	127.861588481189	73.0900912742511	3.10698098070044	"Oryza sativa Japonica Group"	"Poaceae"	"39946"	0.304446488111413	62940	"seqid"	0.001	TRUE
"24"	"425011"	2565	14066	0.182354613962747	164.768421052632	101.44891900729	3.04010031864825	"Aspergillus niger CBS 513.88"	"Aspergillus"	"380704"	0.238842969339758	14032	"seqid"	0.001	FALSE
"25"	"451804"	134	9942	0.0134781734057534	152.171641791045	153.225448234808	3.20509931131854	"Aspergillus fumigatus A1163"	"Aspergillus"	"330879"	0.0409848676201851	9941	"seqid"	0.001	FALSE
"26"	"4533"	4974	31948	0.155690497057719	110.637716123844	85.6083952572354	3.59688496902417	"Oryza brachyantha"	"Poaceae"	"39947"	0.359887709315809	31657	"seqid"	0.001	FALSE
"27"	"4538"	530	31807	0.0166629987109756	116.056603773585	56.7493127942668	3.19009459098352	"Oryza glaberrima"	"Poaceae"	"39947"	0.096291479596381	31774	"seqid"	0.001	FALSE
"28"	"4555"	5210	39107	0.133224230956095	73.8132437619962	53.749933431239	5.73723834717427	"Setaria italica"	"Poaceae"	"4558"	0.431108113501303	38927	"seqid"	0.001	TRUE
"29"	"4558"	851	32795	0.0259490776032932	118.498237367803	106.336362810249	3.30602450581729	"Sorghum bicolor"	"Poaceae"	"4577"	0.408519599285584	32687	"seqid"	0.001	TRUE
"30"	"4565"	1875	94457	0.0198503022539357	117.584533333333	55.7558298968357	2.53222396008968	"Triticum aestivum"	"Poaceae"	"4572"	0.203661478277644	94413	"seqid"	0.001	FALSE
"31"	"4572"	2943	33312	0.0883465417867435	127.901121304791	65.6119191781432	3.02282294318761	"Triticum urartu"	"Poaceae"	"4565"	0.287451307955178	33178	"seqid"	0.001	FALSE
"32"	"4577"	6674	58275	0.114525954525955	123.844770752173	80.6145855384956	2.9129379819226	"Zea mays"	"Poaceae"	"4558"	0.339519236553373	58085	"seqid"	0.001	TRUE
"33"	"46245"	316	16756	0.0188589162091191	102.215189873418	55.6274274901346	4.99328702176222	"Drosophila pseudoobscura pseudoobscura"	"Drosophila"	"7234"	0.0979559664263001	16749	"seqid"	0.001	TRUE
"34"	"50452"	2284	23234	0.0983042093483688	197.494308231173	161.304204525875	2.09132953698833	"Arabis alpina"	"Brassicaceae"	"3702"	0.358960419080593	23149	"seqid"	0.001	FALSE
"35"	"510516"	57	12072	0.00472166998011928	172.59649122807	94.1844428405401	2.6092297719942	"Aspergillus oryzae RIB40"	"Aspergillus"	"1160506"	0.0604296724578995	12069	"seqid"	0.001	FALSE
"36"	"51351"	1839	40806	0.0450669019261873	170.390429581294	122.559132030857	2.35648636688798	"Brassica rapa subsp. pekinensis"	"Brassicaceae"	"72664"	0.320277918110414	40777	"seqid"	0.001	FALSE
"37"	"545124"	367	5450	0.0673394495412844	95.2125340599455	72.4833016824977	4.72414230895881	"Saccharomyces cerevisiae AWRI1631"	"Saccharomyces"	"559292"	0.056485957777278	5441	"seqid"	0.001	FALSE
"38"	"559292"	119	6718	0.0177136052396547	110.739495798319	33.8687552089628	4.11998614745249	"Saccharomyces cerevisiae S288c"	"Saccharomyces"	"643680"	0.0671422931857254	6713	"seqid"	0.001	TRUE
"39"	"57266"	190	6296	0.0301778907242694	71.0052631578947	16.8505718328608	9.12562967637461	"Plasmodium falciparum 7G8"	"Plasmodium"	"5835"	0.0814411646540016	6291	"seqid"	0.001	FALSE
"40"	"574961"	1	5193	0.000192566917003659	76	NA	6.48425969102263	"Saccharomyces cerevisiae JAY291"	"Saccharomyces"	"559292"	0.0114579189131954	5193	"seqid"	0.001	FALSE
"41"	"5823"	3560	11618	0.306421070752281	44.8129213483146	24.3510398155928	7.41536502800818	"Plasmodium berghei ANKA"	"Plasmodium"	"73239"	0.360930059981858	11372	"seqid"	0.001	TRUE
"42"	"5825"	4451	14553	0.305847591561877	44.5791956863626	26.9120616771084	5.8531901438042	"Plasmodium chabaudi"	"Plasmodium"	"5823"	0.403307240711173	14331	"seqid"	0.001	TRUE
"43"	"5835"	125	6105	0.0204750204750205	64.736	19.9548458016528	10.1478637392395	"Plasmodium falciparum CAMP/Malaysia"	"Plasmodium"	"57266"	0.0717230492660144	6102	"seqid"	0.001	FALSE
